Core Section,Original Winter Layer #,Year,Interpolated Year (BP),AD,,Couplet Thickness (mm),Sub Core Depth (mm),Sub Core Depth (cm),Cumulative Depth (mm),Sus Sed Yield (MG km-1 a-1),Notes,Disturbed Years
224B,505,674,848.6515993,1168.348401,1168,1.749,,,1257.56,6.64144458,,
224B,507,675,855.9485507,1161.051449,1161,11.084,,,1268.644,,"Disturbed Disturbed, 17.446",7.296951409
224B,509,676,856.9485507,1160.051449,1160,1.166,,,1269.81,4.42762972,,
224B,511,677,857.9485507,1159.051449,1159,1.751,,,1271.561,6.649039142,,
224B,513,678,858.9485507,1158.051449,1158,1.176,,,1272.737,4.465602531,,
224B,515,679,859.9485507,1157.051449,1157,2.18,,,1274.917,8.278072719,,
224B,517,680,860.9485507,1156.051449,1156,0.821,,,1275.738,3.117567753,,
224B,519,681,861.9485507,1155.051449,1155,1.207,,,1276.945,4.583318244,,
224B,521,682,862.9485507,1154.051449,1154,0.369,,,1277.314,1.401196712,,
224B,523,683,863.9485507,1153.051449,1153,0.331,,,1277.645,1.256900032,,
224B,525,684,864.9485507,1152.051449,1152,1.249,,,1278.894,4.742804048,,
224B,527,685,865.9485507,1151.051449,1151,0.975,,,1279.869,3.702349037,,
224B,529,686,866.9485507,1150.051449,1150,1.283,,,1281.152,4.871911605,,
224B,531,687,867.9485507,1149.051449,1149,1.901,,,1283.053,7.218631302,,
224B,533,688,868.9485507,1148.051449,1148,0.977,,,1284.03,3.709943599,,
224B,535,689,869.9485507,1147.051449,1147,1.221,,,1285.251,4.636480179,,
224B,537,690,870.9485507,1146.051449,1146,0.867,,,1286.118,3.292242682,,
224B,539,691,871.9485507,1145.051449,1145,0.48,,,1286.598,1.822694911,,
224B,541,692,872.9485507,1144.051449,1144,0.492,,,1287.09,1.868262283,,
224B,543,693,880.5101516,1136.489848,1136,11.486,,,1298.576,,"Disturbed , Diagnol Distance = 26.764 Disturbed",7.561600856
224B,545,694,881.5101516,1135.489848,1135,1.138,,,1299.714,4.32130585,,
224B,547,695,882.5101516,1134.489848,1134,0.628,,,1300.342,2.384692508,,
224B,549,696,883.5101516,1133.489848,1133,0.984,,,1301.326,3.736524567,,
224B,551,697,884.5101516,1132.489848,1132,1.564,,,1302.89,5.938947583,,
224B,553,698,885.5101516,1131.489848,1131,1.844,,,1304.734,7.002186281,,
224B,555,699,886.5101516,1130.489848,1130,1.841,,,1306.575,6.990794438,,
224B,557,700,887.5101516,1129.489848,1129,1.462,,,1308.037,5.551624915,,
224B,559,701,888.5101516,1128.489848,1128,0.653,,,1308.69,2.479624535,,
224B,561,702,889.5101516,1127.489848,1127,0.751,,,1309.441,2.851758079,,
224B,563,703,890.5101516,1126.489848,1126,1.167,,,1310.608,4.431427001,,
224B,565,704,891.5101516,1125.489848,1125,0.519,,,1311.127,1.970788872,,
224B,567,705,892.5101516,1124.489848,1124,0.952,,,1312.079,3.615011573,,
224B,569,706,893.5101516,1123.489848,1123,0.952,,,1313.031,3.615011573,,
224B,571,707,894.5101516,1122.489848,1122,1.268,,,1314.299,4.814952389,,
224B,573,708,895.5101516,1121.489848,1121,1.958,,,1316.257,7.435076323,,
224B,575,709,896.5101516,1120.489848,1120,1.816,,,1318.073,6.895862412,,
224B,577,710,897.5101516,1119.489848,1119,2.121,,,1320.194,8.054033136,,
224B,579,711,898.5101516,1118.489848,1118,2.078,,,1322.272,7.89075005,,
224B,581,712,899.5101516,1117.489848,1117,0.586,,,1322.858,2.225206703,,
224B,583,713,900.5101516,1116.489848,1116,1.19,,,1324.048,4.518764466,,
224B,585,714,901.5101516,1115.489848,1115,2.061,,,1326.109,7.826196272,,
224B,587,715,902.5101516,1114.489848,1114,1.608,,,1327.717,6.10602795,,
224B,589,716,903.5101516,1113.489848,1113,2.11,,,1329.827,8.012263044,,
224B,591,717,904.5101516,1112.489848,1112,0.68,,,1330.507,2.582151123,,
224B,593,718,905.5101516,1111.489848,1111,0.98,,,1331.487,3.721335442,,
224B,595,719,906.5101516,1110.489848,1110,1.391,,,1332.878,5.282017959,,
224B,597,720,907.5101516,1109.489848,1109,0.571,,,1333.449,2.168247487,,
224B,599,721,908.5101516,1108.489848,1108,0.956,,,1334.405,3.630200697,,
224B,601,722,909.5101516,1107.489848,1107,1.77,,,1336.175,6.721187483,,
224B,603,723,910.5101516,1106.489848,1106,1.095,,,1337.27,4.158022765,,
224B,605,724,911.5101516,1105.489848,1105,0.625,,,1337.895,2.373300665,,
224B,607,725,912.5101516,1104.489848,1104,0.532,,,1338.427,2.020153526,,
224B,609,726,920.449635,1096.550365,1097,12.06,,,1350.487,,"Disturbed, 12.674 Disturbed , Diagnol Distance = 9.884",7.939483399
224B,611,727,921.449635,1095.550365,1096,0.858,,,1351.345,3.258067153,,
224B,613,728,922.449635,1094.550365,1095,1.361,,,1352.706,5.168099528,,
224B,615,729,923.449635,1093.550365,1094,0.951,,,1353.657,3.611214291,,
224B,617,730,924.449635,1092.550365,1093,0.544,,,1354.201,2.065720899,,
224B,619,731,925.449635,1091.550365,1092,1.078,,,1355.279,4.093468987,,
224B,621,732,926.449635,1090.550365,1091,1.173,,,1356.452,4.454210688,,
224B,623,733,927.449635,1089.550365,1090,1.791,,,1358.243,6.800930385,,
224B,625,734,928.449635,1088.550365,1089,1.592,,,1359.835,6.045271453,,
224B,627,735,929.449635,1087.550365,1088,1.872,,,1361.707,7.108510151,,
224B,629,736,930.449635,1086.550365,1087,0.646,,,1362.353,2.453043567,,
224B,631,737,931.449635,1085.550365,1086,1.004,,,1363.357,3.812470188,,
224B,633,738,932.449635,1084.550365,1085,1.66,,,1365.017,6.303486566,,
224B,635,739,933.449635,1083.550365,1084,1.01,,,1366.027,3.835253874,,
224B,637,740,934.449635,1082.550365,1083,1.937,,,1367.964,7.35533342,,
224B,639,741,935.449635,1081.550365,1082,0.972,,,1368.936,3.690957194,,
224B,641,742,936.449635,1080.550365,1081,0.992,,,1369.928,3.766902815,,
224B,643,743,937.449635,1079.550365,1080,1.478,,,1371.406,5.612381412,,
224B,645,744,938.449635,1078.550365,1079,2.339,,,1373.745,8.881840408,,
224B,647,745,939.449635,1077.550365,1078,1.674,,,1375.419,6.3566485,,
224B,649,746,940.449635,1076.550365,1077,0.866,,,1376.285,3.288445401,,
224B,651,747,941.449635,1075.550365,1076,1.071,,,1377.356,4.066888019,,
224B,653,748,942.449635,1074.550365,1075,1.465,,,1378.821,5.563016758,,
224B,655,749,945.62872,1071.37128,1071,4.829,,,1383.65,,Disturbed,3.179085019
224B,657,750,946.1152273,1070.884773,1071,0.739,,,1384.389,,Disturbed,0.486507316
224B,659,751,947.1152273,1069.884773,1070,1.912,,,1386.301,7.260401394,,
224B,661,752,948.1152273,1068.884773,1069,1.861,,,1388.162,7.066740059,,
224B,663,753,949.1152273,1067.884773,1068,0.934,,,1389.096,3.546660513,,
224B,665,754,950.1152273,1066.884773,1067,1.692,,,1390.788,6.42499956,,
224B,667,755,951.1152273,1065.884773,1066,1.66,,,1392.448,6.303486566,,
224B,669,756,952.1152273,1064.884773,1065,1.422,,,1393.87,5.399733672,,
224B,671,757,953.1152273,1063.884773,1064,1.374,,,1395.244,5.217464181,,
224B,673,758,954.1152273,1062.884773,1063,1.323,,,1396.567,5.023802847,,
224B,675,759,955.1152273,1061.884773,1062,1.089,,,1397.656,4.135239078,,
224B,677,760,956.1152273,1060.884773,1061,1.138,,,1398.794,4.32130585,,
224B,679,761,957.1152273,1059.884773,1060,1.196,,,1399.99,4.541548152,,
224B,681,762,958.1152273,1058.884773,1059,1.835,,,1401.825,6.968010752,,
224B,683,763,959.1152273,1057.884773,1058,1.164,,,1402.989,4.420035158,,
224B,685,764,960.1152273,1056.884773,1057,1.093,,,1404.082,4.150428203,,
224B,687,765,961.1152273,1055.884773,1056,1.567,,,1405.649,5.950339427,,
224B,689,766,962.1152273,1054.884773,1055,1.477,,,1407.126,5.608584131,,
224B,691,767,964.980288,1052.019712,1052,4.352,,,1411.478,,"Disturbed,11.568",2.865060676
224B,693,768,965.2706124,1051.729388,1052,0.441,,,1411.919,,Disturbed 5.651,0.290324393
224B,695,769,966.2706124,1050.729388,1051,1.295,,,1413.214,4.917478977,,
224B,697,770,967.2706124,1049.729388,1050,1.142,,,1414.356,4.336494975,,
224B,699,771,968.2706124,1048.729388,1049,1.193,,,1415.549,4.530156309,,
224B,701,772,969.2706124,1047.729388,1048,1.162,,,1416.711,4.412440596,,
224B,703,773,970.2706124,1046.729388,1047,1.098,,,1417.809,4.169414608,,
224B,705,774,971.2706124,1045.729388,1046,1.12,,,1418.929,4.252954791,,
224B,707,775,972.2706124,1044.729388,1045,0.811,,,1419.74,3.079594943,,
224B,709,776,973.2706124,1043.729388,1044,0.603,,,1420.343,2.289760481,,
224B,711,777,974.2706124,1042.729388,1043,1.163,,,1421.506,4.416237877,,
224B,713,778,975.2706124,1041.729388,1042,1.329,,,1422.835,5.046586534,,
224B,715,779,976.2706124,1040.729388,1041,1.24,,,1424.075,4.708628519,,
224B,717,780,977.2706124,1039.729388,1040,1.496,,,1425.571,5.680732471,,
224B,719,781,983.6643323,1033.335668,1033,9.712,,,1435.283,,Disturbed,6.393719965
224B,1,782,984.6643323,1032.335668,1032,0.758,,,1436.041,2.878339046,,
224B,3,783,985.6643323,1031.335668,1031,1.384,,,1437.425,5.255436992,,
224B,5,784,986.6643323,1030.335668,1030,1.694,,,1439.119,6.432594122,,
224B,7,785,987.6643323,1029.335668,1029,1.745,,,1440.864,6.626255456,,
224B,9,786,988.6643323,1028.335668,1028,1.824,,,1442.688,6.92624066,,
224B,11,787,989.6643323,1027.335668,1027,2.044,,,1444.732,7.761642494,,
224B,13,788,990.6643323,1026.335668,1026,2.451,,,1447.183,9.307135887,,
224B,15,789,991.6643323,1025.335668,1025,1.135,,,1448.318,4.309914007,,
224B,17,790,992.6643323,1024.335668,1024,1.661,,,1449.979,6.307283847,,
224B,19,791,993.6643323,1023.335668,1023,1.427,,,1451.406,5.418720078,,
224B,21,792,994.6643323,1022.335668,1022,1.739,,,1453.145,6.60347177,,
224B,23,793,995.6643323,1021.335668,1021,2.169,,,1455.314,8.236302627,,
224B,25,794,996.6643323,1020.335668,1020,1.705,,,1457.019,6.474364213,,
224B,27,795,997.6643323,1019.335668,1019,1.134,,,1458.153,4.306116726,,
224B,29,796,998.6643323,1018.335668,1018,1.426,,,1459.579,5.414922797,,
224B,31,797,999.6643323,1017.335668,1017,1.096,,,1460.675,4.161820046,,
224B,33,798,1000.664332,1016.335668,1016,2.041,,,1462.716,7.750250651,,
224B,35,799,1001.664332,1015.335668,1015,0.608,,,1463.324,2.308746887,,
224B,37,800,1002.664332,1014.335668,1014,0.821,,,1464.145,3.117567753,,
224B,39,801,1003.664332,1013.335668,1013,0.823,,,1464.968,3.125162315,,
224B,41,802,1004.664332,1012.335668,1012,0.535,,,1465.503,2.031545369,,
224B,43,803,1005.664332,1011.335668,1011,1.33,,,1466.833,5.050383815,,
224B,45,804,1006.664332,1010.335668,1010,1.537,,,1468.37,5.836420995,,
224B,47,805,1007.664332,1009.335668,1009,1.605,,,1469.975,6.094636107,,
224B,49,806,1008.664332,1008.335668,1008,1.733,,,1471.708,6.580688083,,
224B,51,807,1009.664332,1007.335668,1007,0.803,,,1472.511,3.049216694,,
224B,53,808,1010.664332,1006.335668,1006,1.485,,,1473.996,5.638962379,,
224B,55,809,1011.664332,1005.335668,1005,1.448,,,1475.444,5.49846298,,
224B,57,810,1012.664332,1004.335668,1004,1.565,,,1477.009,5.942744865,,
224B,59,811,1013.664332,1003.335668,1003,1.148,,,1478.157,4.359278661,,
224B,61,812,1014.664332,1002.335668,1002,1.265,,,1479.422,4.803560545,,
224B,63,813,1015.664332,1001.335668,1001,1.068,,,1480.49,4.055496176,,
224B,65,814,1016.664332,1000.335668,1000,1.029,,,1481.519,3.907402214,,
224B,67,815,1017.664332,999.3356677,999,1.043,,,1482.562,3.960564149,,
224B,69,816,1018.664332,998.3356677,998,0.665,,,1483.227,2.525191907,,
224B,71,817,1019.664332,997.3356677,997,0.589,,,1483.816,2.236598546,,
224B,73,818,1020.664332,996.3356677,996,0.986,,,1484.802,3.744119129,,
224B,75,819,1021.664332,995.3356677,995,1.154,,,1485.956,4.382062347,,
224B,77,820,1022.664332,994.3356677,994,1.606,,,1487.562,6.098433388,,
224B,79,821,1023.664332,993.3356677,993,0.938,,,1488.5,3.561849638,,
224B,81,822,1024.664332,992.3356677,992,1.173,,,1489.673,4.454210688,,
224B,83,823,1025.664332,991.3356677,991,1.643,,,1491.316,6.238932788,,
224B,85,824,1026.664332,990.3356677,990,2.122,,,1493.438,8.057830417,,
224B,87,825,1027.664332,989.3356677,989,2.506,,,1495.944,9.515986345,,
224B,89,826,1028.664332,988.3356677,988,1.357,,,1497.301,5.152910403,,
224B,91,827,1029.664332,987.3356677,987,1.391,,,1498.692,5.282017959,,
224B,93,828,1030.664332,986.3356677,986,1.023,,,1499.715,3.884618528,,
224B,95,829,1031.664332,985.3356677,985,1.392,,,1501.107,5.285815241,,
224B,97,830,1032.664332,984.3356677,984,1.253,,,1502.36,4.757993173,,
224B,99,831,1033.664332,983.3356677,983,1.307,,,1503.667,4.96304635,,
224B,101,832,1034.664332,982.3356677,982,0.795,,,1504.462,3.018838446,,
224B,103,833,1035.664332,981.3356677,981,1.354,,,1505.816,5.14151856,,
224B,105,834,1036.664332,980.3356677,980,1.602,,,1507.418,6.083244264,,
224B,107,835,1037.664332,979.3356677,979,0.97,,,1508.388,3.683362632,,
224B,109,836,1038.664332,978.3356677,978,1.179,,,1509.567,4.476994374,,
224B,111,837,1039.664332,977.3356677,977,0.652,,,1510.219,2.475827253,,
224B,113,838,1040.664332,976.3356677,976,1.036,,,1511.255,3.933983182,,
224B,115,839,1041.664332,975.3356677,975,1.778,,,1513.033,6.751565731,,
224B,117,840,1042.664332,974.3356677,974,1.648,,,1514.681,6.257919193,,
224B,119,841,1043.664332,973.3356677,973,1.153,,,1515.834,4.378265066,,
224B,121,842,1044.664332,972.3356677,972,1.259,,,1517.093,4.780776859,,
224B,123,843,1045.664332,971.3356677,971,1.191,,,1518.284,4.522561747,,
224B,125,844,1046.664332,970.3356677,970,1.977,,,1520.261,7.507224663,,
224B,127,845,1047.664332,969.3356677,969,2.055,,,1522.316,7.803412586,,
224B,129,846,1048.664332,968.3356677,968,0.903,,,1523.219,3.4289448,,
224B,131,847,1049.664332,967.3356677,967,1.755,,,1524.974,6.664228267,,
224B,133,848,1050.664332,966.3356677,966,1.549,,,1526.523,5.881988368,,
224B,135,849,1051.664332,965.3356677,965,1.274,,,1527.797,4.837736075,,
224B,137,850,1052.664332,964.3356677,964,1.735,,,1529.532,6.588282645,,
224B,139,851,1053.664332,963.3356677,963,1.654,,,1531.186,6.280702879,,
224B,141,852,1061.608424,955.3915759,955,12.067,,,1543.253,,Disturbed Disturbed,7.944091723
224B,143,853,1062.608424,954.3915759,954,2.133,,,1545.386,8.099600509,,
224B,145,854,1063.608424,953.3915759,953,1.617,,,1547.003,6.14020348,,
224B,147,855,1064.608424,952.3915759,952,2.126,,,1549.129,8.073019541,,
224B,149,856,1065.608424,951.3915759,951,1.564,,,1550.693,5.938947583,,
224B,151,857,1066.608424,950.3915759,950,1.154,,,1551.847,4.382062347,,
224B,153,858,1070.553807,946.4461925,946,5.993,,,1557.84,,Disturbed Disturbed,3.945383417
224B,155,859,1071.553807,945.4461925,945,1.411,,,1559.251,5.357963581,,
224B,157,860,1072.553807,944.4461925,944,1.396,,,1560.647,5.301004365,,
224B,159,861,1073.553807,943.4461925,943,1.232,,,1561.879,4.67825027,,
224B,161,862,1074.553807,942.4461925,942,1.47,,,1563.349,5.582003164,,
224B,163,863,1075.553807,941.4461925,941,1.422,,,1564.771,5.399733672,,
224B,165,864,1076.553807,940.4461925,940,1.224,,,1565.995,4.647872022,,
224B,167,865,1079.530785,937.4692154,937,4.522,,,1570.517,,Disturbed Disturbed,2.976977109
224B,169,866,1080.530785,936.4692154,936,1.368,,,1571.885,5.194680495,,
224B,171,867,1081.530785,935.4692154,935,1.299,,,1573.184,4.932668102,,
224B,173,868,1082.530785,934.4692154,934,1.261,,,1574.445,4.788371421,,
224B,175,869,1083.530785,933.4692154,933,2.991,,,1577.436,11.35766766,,
224B,177,870,1084.530785,932.4692154,932,0.832,,,1578.268,3.159337845,,
224B,179,871,1085.530785,931.4692154,931,0.393,,,1578.661,1.492331458,,
224B,181,872,1086.530785,930.4692154,930,0.43,,,1579.091,1.632830857,,
224B,183,873,1087.530785,929.4692154,929,1.861,,,1580.952,7.066740059,,
224B,185,874,1099.788267,917.2117327,917,18.619,,,1599.571,,Disturbed Disturbed,12.2574827
224B,187,875,1100.788267,916.2117327,916,2.639,,,1602.21,10.02102473,,
224B,189,876,1101.788267,915.2117327,915,1.447,,,1603.657,5.494665699,,
224B,191,877,1102.788267,914.2117327,914,1.291,,,1604.948,4.902289853,,
224B,193,878,1103.788267,913.2117327,913,1.732,,,1606.68,6.576890802,,
224B,195,879,1104.788267,912.2117327,912,1.335,,,1608.015,5.06937022,,
224B,197,880,1105.788267,911.2117327,911,1.059,,,1609.074,4.021320646,,
224B,199,881,1106.788267,910.2117327,910,1.465,,,1610.539,5.563016758,,
224B,201,882,1107.788267,909.2117327,909,1.674,,,1612.213,6.3566485,,
224B,203,883,1132.593557,884.4064429,884,37.679,,,1649.892,,Disturbed Disturbed,24.8052898
224B,205,884,1133.593557,883.4064429,883,1.966,,,1651.858,7.465454571,,
224B,207,885,1134.593557,882.4064429,882,1.601,,,1653.459,6.079446983,,
224B,209,886,1135.593557,881.4064429,881,2.192,,,1655.651,8.323640091,,
224B,211,887,1136.593557,880.4064429,880,2.009,,,1657.66,7.628737657,,
224B,213,888,1137.593557,879.4064429,879,1.572,,,1659.232,5.969325832,,
224B,215,889,1138.593557,878.4064429,878,2.134,,,1661.366,8.10339779,,
224B,217,890,1139.593557,877.4064429,877,1.761,,,1663.127,6.687011953,,
224B,219,891,1140.593557,876.4064429,876,1.682,,,1664.809,6.387026749,,
224B,221,892,1141.593557,875.4064429,875,1.934,,,1666.743,7.343941577,,
224B,223,893,1142.593557,874.4064429,874,1.174,,,1667.917,4.458007969,,
224B,225,894,1143.593557,873.4064429,873,1.569,,,1669.486,5.957933989,,
224B,227,895,1144.593557,872.4064429,872,1.512,,,1670.998,5.741488968,,
224B,229,896,1145.593557,871.4064429,871,1.114,,,1672.112,4.230171105,,
224B,231,897,1146.593557,870.4064429,870,1.882,,,1673.994,7.146482962,,
224B,233,898,1158.603507,858.396493,858,18.243,,,1692.237,,Disturbed Disturbed,12.00994989
224B,235,899,1159.603507,857.396493,857,2.164,,,1694.401,8.217316222,,
224B,237,900,1160.603507,856.396493,856,1.331,,,1695.732,5.054181096,,
224B,239,901,1161.603507,855.396493,855,0.765,,,1696.497,2.904920014,,
224B,241,902,1162.603507,854.396493,854,0.958,,,1697.455,3.637795259,,
224B,243,903,1211.267405,805.7325948,806,73.92,,,1771.375,,Disturbed Disturbed,48.66389825
224B,245,904,1212.267405,804.7325948,805,1.12,,,1772.495,4.252954791,,
224B,247,905,1213.267405,803.7325948,804,1.67,,,1774.165,6.341459376,,
224B,249,906,1214.267405,802.7325948,803,2.486,,,1776.651,9.440040724,,
224B,251,907,1225.669715,791.3302853,791,17.32,,,1793.971,,Disturbed,11.40230949
224B,253,908,1226.669715,790.3302853,790,1.004,,,1794.975,3.812470188,,
224B,255,909,1227.669715,789.3302853,789,5.132,,,1800.107,19.48764642,Flood,
224B,257,910,1228.669715,788.3302853,788,1.746,,,1801.853,6.630052737,,
224B,259,911,1229.669715,787.3302853,787,0.924,,,1802.777,3.508687703,,
224B,261,912,1230.669715,786.3302853,786,1.218,,,1803.995,4.625088335,,
224B,263,913,1231.669715,785.3302853,785,1.785,,,1805.78,6.778146699,,
224B,265,914,1232.669715,784.3302853,784,1.055,,,1806.835,4.006131522,,
224B,267,915,1233.669715,783.3302853,783,0.932,,,1807.767,3.539065951,,
224B,269,916,1234.669715,782.3302853,782,1.179,,,1808.946,4.476994374,,
224B,271,917,1235.669715,781.3302853,781,1.296,,,1810.242,4.921276258,,
224B,273,918,1256.124089,760.8759114,761,31.07,,,1841.312,,Disturbed Disturbed,20.4543739
224B,275,919,1257.124089,759.8759114,760,2.19,,,1843.502,8.316045529,,
224B,277,920,1258.124089,758.8759114,759,2.297,,,1845.799,8.722354603,,
224B,279,921,1259.124089,757.8759114,758,2.197,,,1847.996,8.342626497,,
224B,281,922,1260.124089,756.8759114,757,1.548,,,1849.544,5.878191086,,
224B,283,923,1261.124089,755.8759114,756,2.361,,,1851.905,8.965380591,,
224B,285,924,1262.124089,754.8759114,755,1.573,,,1853.478,5.973123113,,
224B,287,925,1263.124089,753.8759114,754,2.478,,,1855.956,9.409662476,,
224B,289,926,1264.124089,752.8759114,753,1.867,,,1857.823,7.089523746,,
224B,291,927,1265.124089,751.8759114,752,2.237,,,1860.06,8.494517739,,
224B,293,928,1266.124089,750.8759114,751,1.369,,,1861.429,5.198477776,,
224B,295,929,1267.124089,749.8759114,750,1.068,,,1862.497,4.055496176,,
224B,297,930,1268.124089,748.8759114,749,1.193,,,1863.69,4.530156309,,
224B,299,931,1269.124089,747.8759114,748,1.745,,,1865.435,6.626255456,,
224B,301,932,1270.124089,746.8759114,747,1.866,,,1867.301,7.085726465,,
224B,303,933,1271.124089,745.8759114,746,1.571,,,1868.872,5.965528551,,
224B,305,934,1272.124089,744.8759114,745,2.312,,,1871.184,8.779313819,,
224B,307,935,1273.124089,743.8759114,744,1.332,,,1872.516,5.057978377,,
224B,309,936,1274.124089,742.8759114,743,1.435,,,1873.951,5.449098326,,
224B,311,937,1275.124089,741.8759114,742,1.221,,,1875.172,4.636480179,,
224B,313,938,1276.124089,740.8759114,741,2.027,,,1877.199,7.697088716,,
224B,315,939,1277.124089,739.8759114,740,2.305,,,1879.504,8.752732852,,
224B,317,940,1278.124089,738.8759114,739,2.527,,,1882.031,9.595729248,,
224B,319,941,1279.124089,737.8759114,738,2.345,,,1884.376,8.904624094,,
224B,321,942,1280.124089,736.8759114,737,1.823,,,1886.199,6.922443379,,
224B,323,943,1281.124089,735.8759114,736,2.725,,,1888.924,10.3475909,,
224B,325,944,1282.124089,734.8759114,735,1.575,,,1890.499,5.980717675,,
224B,327,945,1283.124089,733.8759114,734,2.37,,,1892.869,8.999556121,,
224B,329,946,1284.124089,732.8759114,733,1.482,,,1894.351,5.627570536,,
224B,331,947,1285.124089,731.8759114,732,2.314,,,1896.665,8.786908381,,
224B,333,948,1286.124089,730.8759114,731,1.895,,,1898.56,7.195847616,,
224B,335,949,1287.124089,729.8759114,730,2.162,,,1900.722,8.20972166,,
224B,337,950,1288.124089,728.8759114,729,1.489,,,1902.211,5.654151504,,
224C,1,951,1324.637812,692.3621877,692,55.464,55.464,5.5464,1957.675,,Disturbed top section,36.51372365
224C,3,952,1325.637812,691.3621877,691,2.729,58.193,5.8193,1960.404,10.36278002,,
224C,5,953,1326.637812,690.3621877,690,2.123,60.316,6.0316,1962.527,8.061627698,,
224C,7,954,1327.637812,689.3621877,689,2.1,62.416,6.2416,1964.627,7.974290234,,
224C,9,955,1328.637812,688.3621877,688,2.742,65.158,6.5158,1967.369,10.41214468,,
224C,11,956,1329.637812,687.3621877,687,2.389,67.547,6.7547,1969.758,9.071704461,,
224C,13,957,1378.667085,638.3329153,638,74.475,142.022,14.2022,2044.233,,Disturbed  Disturbed,49.02927248
224C,15,958,1379.667085,637.3329153,637,0.827,142.849,14.2849,2045.06,3.14035144,,
224C,17,959,1380.667085,636.3329153,636,1.769,144.618,14.4618,2046.829,6.717390202,,
224C,19,960,1385.22735,631.7726498,632,6.927,151.545,15.1545,2053.756,,Disturbed Disturbed,4.560265465
224C,21,961,1386.22735,630.7726498,631,1.995,153.54,15.354,2055.751,7.575575722,,
224C,23,962,1387.22735,629.7726498,630,1.701,155.241,15.5241,2057.452,6.459175089,,
224C,25,963,1389.255013,627.7449874,628,3.08,158.321,15.8321,2060.532,,Disturbed Disturbed,2.027662427
224C,27,964,1390.255013,626.7449874,627,1.111,159.432,15.9432,2061.643,4.218779262,,
224C,29,965,1391.255013,625.7449874,626,0.957,160.389,16.0389,2062.6,3.633997978,,
224C,31,966,1392.255013,624.7449874,625,1.26,161.649,16.1649,2063.86,4.78457414,,
224C,33,967,1393.255013,623.7449874,624,1.278,162.927,16.2927,2065.138,4.852925199,,
224C,35,968,1394.255013,622.7449874,623,1.889,164.816,16.4816,2067.027,7.173063929,,
224C,37,969,1395.255013,621.7449874,622,1.161,165.977,16.5977,2068.188,4.408643315,,
224C,39,970,1396.255013,620.7449874,621,2.176,168.153,16.8153,2070.364,8.262883594,,
224C,41,971,1404.010821,612.9891786,613,11.781,179.934,17.9934,2082.145,,Disturbed Disturbed,7.755808783
224C,43,972,1405.010821,611.9891786,612,1.619,181.553,18.1553,2083.764,6.147798042,,
224C,45,973,1406.010821,610.9891786,611,0.864,182.417,18.2417,2084.628,3.280850839,,
224C,47,974,1407.010821,609.9891786,610,1.133,183.55,18.355,2085.761,4.302319445,,
224C,49,975,1408.010821,608.9891786,609,1.415,184.965,18.4965,2087.176,5.373152705,,
224C,51,976,1409.010821,607.9891786,608,1.612,186.577,18.6577,2088.788,6.121217075,,
224C,53,977,1410.010821,606.9891786,607,2.25,188.827,18.8827,2091.038,8.543882393,,
224C,55,978,1411.010821,605.9891786,606,1.666,190.493,19.0493,2092.704,6.326270252,,
224C,57,979,1424.290035,592.7099647,593,20.171,210.664,21.0664,2112.875,,Disturbed Disturbed,13.2792139
224C,59,980,1425.290035,591.7099647,592,1.095,211.759,21.1759,2113.97,4.158022765,,
224C,61,981,1426.290035,590.7099647,591,0.793,212.552,21.2552,2114.763,3.011243883,,
224C,63,982,1427.290035,589.7099647,590,2.22,214.772,21.4772,2116.983,8.429963961,,
224C,65,983,1428.290035,588.7099647,589,2.77,217.542,21.7542,2119.753,10.51846855,,
224C,67,984,1429.290035,587.7099647,588,1.097,218.639,21.8639,2120.85,4.165617327,,
224C,69,985,1430.290035,586.7099647,587,1.216,219.855,21.9855,2122.066,4.617493773,,
224C,71,986,1431.290035,585.7099647,586,2.71,222.565,22.2565,2124.776,10.29063168,,
224C,73,987,1432.290035,584.7099647,585,2.073,224.638,22.4638,2126.849,7.871763645,,
224C,75,988,1433.290035,583.7099647,584,2.289,226.927,22.6927,2129.138,8.691976355,,
224C,77,989,1434.290035,582.7099647,583,2.186,229.113,22.9113,2131.324,8.300856405,,
224C,79,990,1435.290035,581.7099647,582,2.465,231.578,23.1578,2133.789,9.360297822,,
224C,81,991,1436.290035,580.7099647,581,1.006,232.584,23.2584,2134.795,3.82006475,,
224C,83,992,1437.290035,579.7099647,580,1.978,234.562,23.4562,2136.773,7.511021944,,
224C,85,993,1438.290035,578.7099647,579,2.438,237,23.7,2139.211,9.257771233,,
224C,87,994,1439.290035,577.7099647,578,1.393,238.393,23.8393,2140.604,5.289612522,,
224C,89,995,1440.290035,576.7099647,577,1.431,239.824,23.9824,2142.035,5.433909202,,
224C,91,996,1441.290035,575.7099647,576,1.126,240.95,24.095,2143.161,4.275738478,,
224C,93,997,1442.290035,574.7099647,575,1.619,242.569,24.2569,2144.78,6.147798042,,
224C,95,998,1443.290035,573.7099647,574,1.691,244.26,24.426,2146.471,6.421202279,,
224C,97,999,1444.290035,572.7099647,573,1.573,245.833,24.5833,2148.044,5.973123113,,
224C,99,1000,1445.290035,571.7099647,572,1.804,247.637,24.7637,2149.848,6.850295039,,
224C,101,1001,1446.290035,570.7099647,571,1.639,249.276,24.9276,2151.487,6.223743663,,
224C,103,1002,1447.290035,569.7099647,570,1.483,250.759,25.0759,2152.97,5.631367817,,
